EMPLOYEE_ID,FULL_NAME,DATE_OF_BIRTH,GENDER,SALARY,START_DATE_WORK,TERMINATION_DATE,DEPARTMENT_ID
E000001,Bà Lan Trần,1994-08-29,Nam,40000000,2012-08-24,,D007
E000002,Bác Hưng Lê,1984-08-25,Nam,40000000,2002-08-21,,D014
E000003,Ông Minh Dương,2006-10-22,Nữ,40000000,2024-10-17,,D021
E000004,Quý cô Mai Lê,1982-02-14,Nam,40000000,2000-02-10,,D028
E000005,Vũ Hoàng,1997-12-03,Nữ,40000000,2015-11-29,,D035
E000006,Anh Huy Bùi,1995-12-18,Nam,40000000,2013-12-13,,D042
E000007,Ánh Vũ,1987-03-18,Nam,40000000,2005-03-13,,D049
E000008,Kim Phạm,1985-02-06,Nam,40000000,2003-02-02,,D056
E000009,Ông Anh Trần,1981-02-21,Nam,40000000,1999-02-17,,D063
E000010,Hưng Quang Vũ,1984-02-08,Nữ,40000000,2002-02-03,,D070
E000011,Chị Ngọc Mai,1988-03-02,Nữ,40000000,2006-02-26,,D077
E000012,Tú Phạm,1979-02-04,Nam,40000000,1997-01-30,,D084
E000013,Ông Nhiên Phạm,1995-05-21,Nam,40000000,2013-05-16,,D091
E000014,Chị Phương Trần,1998-10-06,Nữ,40000000,2016-10-01,,D098
E000015,Xuân Đặng,1983-10-09,Nam,40000000,2001-10-04,,D105
E000016,Quang Mai Đặng,2000-11-27,Nữ,16106898,2018-11-23,,D001
E000017,Bác Dũng Nguyễn,1978-12-20,Nữ,16106898,1997-03-28,,D001
E000018,Lâm Trần,1988-08-27,Nam,16106898,2006-08-23,,D001
E000019,Hạnh Bảo Phạm,1982-10-13,Nữ,16106898,2000-10-08,,D001
E000020,Cô Vân Bùi,1998-11-09,Nữ,16106898,2016-11-04,,D001
E000021,Bác Khoa Nguyễn,1985-02-26,Nam,16106898,2003-02-22,,D001
E000022,Ông Quang Mai,1998-04-21,Nữ,16106898,2016-04-16,,D001
E000023,Cô Xuân Nguyễn,2004-06-16,Nữ,16106898,2022-06-12,,D001
E000024,Chị Thành Dương,1997-01-25,Nam,16106898,2015-01-21,,D001
E000025,Hải Lê,2001-05-06,Nam,16106898,2019-05-02,,D001
E000026,Kim Mai,1989-10-04,Nam,16106898,2007-09-30,,D001
E000027,Quang Đặng,1997-12-05,Nữ,16106898,2015-12-01,,D001
E000028,Ngọc Hoàng,1994-10-29,Nữ,16106898,2012-10-24,,D001
E000029,Ngọc Lê,2001-08-29,Nam,16106898,2019-08-25,,D001
E000030,Hạnh Thế Hoàng,2003-05-14,Nữ,16106898,2021-05-09,,D001
E000031,Nam Vũ,1980-12-05,Nữ,16106898,1998-12-01,2013-07-21,D001
E000032,Quý cô Mai Vũ,1984-11-04,Nam,16106898,2002-10-31,2023-05-31,D001
E000033,Tú Trần,1981-02-04,Nữ,16106898,1999-01-31,2001-02-01,D001
E000034,Quý cô Thành Hoàng,1995-01-10,Nam,16106898,2013-01-05,2015-06-29,D001
E000035,Anh Trần,1982-03-08,Nữ,16106898,2000-03-03,2016-03-12,D001
E000036,An Lê,1996-05-16,Nữ,16106898,2014-05-12,2017-11-16,D001
E000037,Cô Duyên Phạm,1985-08-11,Nữ,16106898,2003-08-07,,D001
E000038,Bà Duyên Nguyễn,1999-02-17,Nam,16106898,2017-02-12,2022-01-22,D001
E000039,Thành Dương,1992-03-16,Nữ,16106898,2010-03-12,,D001
E000040,Anh Tú Dương,2001-11-24,Nam,16106898,2019-11-20,,D001
E000041,Huy Mai Bảo Vũ,1987-12-07,Nữ,16106898,2005-12-02,,D001
E000042,Cô Hạnh Trần,2004-05-07,Nam,16106898,2022-05-03,,D001
E000043,Hưng Văn Hoàng,1984-01-14,Nam,16106898,2002-01-09,,D001
E000044,Nhiên Hoàng,1999-03-28,Nữ,16106898,2017-03-23,,D001
E000045,Dũng Trần,1979-05-04,Nam,16106898,1997-04-29,,D001
E000046,Nhật Phú Lê,1984-01-16,Nam,16106898,2002-01-11,,D001
E000047,Lan Lê,1987-10-23,Nữ,16106898,2005-10-18,2018-09-08,D001
E000048,Quang Mai,2002-05-29,Nữ,16106898,2020-05-24,,D001
E000049,Quý cô Linh Trần,1980-12-09,Nữ,16106898,1998-12-05,,D001
E000050,Yến Mai,1991-09-14,Nam,16106898,2009-09-09,,D001
E000051,Quý cô Vi Dương,1985-01-12,Nữ,16106898,2003-01-08,2017-06-19,D001
E000052,Ông Khoa Trần,1998-04-28,Nữ,16106898,2016-04-23,2023-11-16,D001
E000053,Chị Nhật Phạm,2004-08-29,Nam,16106898,2022-08-25,,D001
E000054,Anh Anh Mai,2003-10-18,Nam,16106898,2021-10-13,,D001
E000055,Cô Yến Nguyễn,1999-03-29,Nam,16106898,2017-03-24,,D001
E000056,Dũng Mai,1994-08-16,Nam,16106898,2012-08-11,2020-12-03,D001
E000057,Huy Mai Bảo Hoàng,1999-05-25,Nam,16106898,2017-05-20,,D001
E000058,Bảo Vũ,2006-09-22,Nữ,16106898,2024-09-17,,D001
E000059,Phương Hoàng,2006-01-09,Nam,16106898,2024-01-05,,D001
E000060,Mai Vũ,1986-12-04,Nữ,16106898,2004-11-29,,D001
E000061,Lan Phạm,2000-05-28,Nữ,16106898,2018-05-24,2022-07-03,D001
E000062,Hà Hải Trần,1979-06-21,Nữ,16106898,1997-06-16,,D001
E000063,Minh Bảo Vũ,1980-08-31,Nam,16106898,1998-08-27,,D001
E000064,Ông Minh Bùi,1989-11-17,Nam,16106898,2007-11-13,,D001
E000065,Hồng Dương,1981-10-01,Nam,16106898,1999-09-27,,D001
E000066,Bảo Lê,1997-05-04,Nữ,16106898,2015-04-30,,D001
E000067,Duyên Nguyễn,2003-01-31,Nữ,16106898,2021-01-26,,D001
E000068,Dương Trần,1981-06-03,Nữ,16106898,1999-05-30,,D001
E000069,Phúc Nguyễn,2003-06-02,Nam,16106898,2021-05-28,,D001
E000070,An Phú Bùi,1996-01-28,Nữ,16106898,2014-01-23,,D001
E000071,Chị Hồng Mai,1988-08-15,Nữ,16106898,2006-08-11,,D001
E000072,Bà Bảo Lê,2001-11-10,Nữ,16106898,2019-11-06,,D001
